HTS 6D,naics
090821,311942
090822,311942
090830,311942
090831,311942
090832,311942
090910,311942
090920,311942
090921,311942
090922,311942
090930,311942
090931,311942
090932,311942
090940,311942
090950,311942
090961,311942
090962,311942
091010,311942
091011,311942
091012,311942
091020,311942
091030,311942
091040,111998
,311942
091050,311942
091091,311942
091099,111998
,311942
100110,111140
100111,111140
100119,111140
100190,111140
100191,111140
100199,111140
100200,111199
100210,111199
100290,111199
100300,111199
100310,111199
100390,111199
100400,111199
100410,111199
100490,111199
100510,111150
100590,111150
,311999
100610,111160
100620,311212
100630,311212
100640,311212
100700,111199
100710,111199
100790,111199
100810,111199
100820,111199
100821,111199
100829,111199
100830,111199
100840,111199
100850,111199
100860,111199
100890,111199
110100,311211
110210,311211
110220,311211
110230,311212
110290,311211
,311212
110311,311211
110312,311211
110313,311211
110314,311212
110319,311211
,311212
110320,311211
110321,311211
110329,311211
110411,311230
110412,311211
,311230
110419,311211
,311230
110421,311230
110422,311211
,311230
110423,311211
,311230
110429,311211
,311230
110430,311211
110510,311211
110520,311423
110610,311211
110620,311211
,311423
110630,311211
,311423
110710,311213
110720,311213
110811,311221
110812,311221
110813,311221
110814,311221
110819,311221
110820,311221
110900,311211
,311221
120100,111110
120110,111110
120190,111110
120210,111992
120220,111992
120230,111992
120241,111992
120242,111992
,311911
120300,111335
120400,111120
120500,111120
120510,111120
120590,111120
120600,111120
120710,111120
,111335
120720,111920
120721,111920
120729,111920
120730,111120
120740,111120
120750,111120
120760,111120
120770,111219
120791,111120
120792,111199
120799,111120
,111335
120810,311222
,311224
120890,311223
,311224
120910,111991
120911,111991
120919,111219
120921,111998
120922,111998
120923,111998
120924,111998
120925,111998
120926,111998
120929,111219
,111998
120930,111422
120991,111219
120999,111219
,111421
,111910
121010,111998
121020,111998
121110,113210
121120,111219
,111998
,113210
,311421
121130,111998
121140,111998
121150,111998
121160,111998
121190,111339
,111998
,311421
,311920
,325411
121210,113210
121220,114119
121221,114119
121229,114119
121230,111339
121291,111991
121292,111930
,111998
121293,111930
121294,111998
121299,111339
,111930
,111998
121300,111998
121410,311119
121490,111940
,111998
130110,113210
130120,113210
130190,113210
130211,113210
130212,113210
130213,311930
,311942
130214,113210
130219,113210
,325411
130220,311999
130231,325411
130232,311999
130239,311999
140110,113210
140120,113210
140190,113210
140200,113210
140210,113210
140290,113210
140300,111998
,113210
140310,111998
140390,113210
140410,111998
140420,311223
,311224
140490,111199
,111998
,113210
150100,311611
,311613
150110,311611
150120,311613
150190,311613
150200,311611
,311613
150210,311611
,311613
150290,311611
150300,311613
150410,114111
150420,114111
150430,114111
150500,313110
,313312
,325199
150510,313312
150590,325199
150600,311613
150710,311222
,311224
150790,311222
,311224
,311225
150810,311223
,311224
150890,311223
,311224
150910,311223
,311224
150920,311224
150930,311224
150940,311224
150990,311223
,311224
151000,311223
,311224
151010,311224
151090,311224
151110,311223
,311224
151190,311223
,311224
151211,311223
,311224
151219,311223
,311224
151221,311223
,311224
151229,311223
,311224
,311225
151311,311223
,311224
151319,311223
,311224
151321,311223
,311224
151329,311223
,311224
151410,311223
151411,311223
,311224
151419,311223
,311224
151490,311223
151491,311223
,311224
151499,311223
,311224
151511,311223
,311224
151519,311223
,311224
151521,311221
151529,311221
151530,311223
,311224
151540,311223
151550,311223
,311224
151560,311223
,311224
151590,311223
,311224
151610,311225
151620,311225
151630,311225
151710,311225
151790,311225
151800,311223
,311224
,311613
152000,325611
152110,325998
152190,325612
,325998
152200,325613
160100,311611
160210,311422
,311611
,311999
160220,311611
,311615
160231,311615
160232,311615
160239,311615
160241,311611
160242,311611
160249,311611
160250,311611
160290,311611
,311612
,311615
160300,311611
,311710
,311711
160411,311710
,311711
160412,311710
,311711
160413,311710
,311711
160414,311710
,311711
160415,311710
,311711
160416,311710
,311711
160417,114111
,311710
160418,311710
160419,114111
,311710
,311711
160420,114111
,311710
,311711
160430,311711
160431,311710
160432,311710
160510,114112
,311710
,311711
160520,114111
,114112
,311711
160521,114111
,114112
,311710
160529,114112
,311710
160530,114112
,311710
,311711
160540,311710
,311711
160551,311710
160552,311710
160553,311710
160554,311710
160555,311710
160556,311710
160557,311710
160558,311710
160559,311710
160561,311710
160562,311710
160563,311710
160569,311710
160590,311711
170111,31131X
170112,31131X
170113,31131X
170114,31131X
170191,31131X
170199,31131X
170211,311514
170219,311514
170220,111998
170230,311221
170240,311221
170250,311221
170260,311221
170290,31131X
170310,31131X
170390,31131X
170410,311340
170490,311340
180100,111335
180200,111335
180310,311320
